Year,Film,Nominees,url,production
2001,Shrek,Aron Warner,https://www.imdb.com/title/tt0126029/,DreamWorks Animation
2001,Jimmy Neutron: Boy Genius,Steve Oedekerk & John A. Davis,https://www.imdb.com/title/tt0320808/,Nickelodeon Movies
2001,"Monsters, Inc.",Pete Docter & John Lasseter,https://www.imdb.com/title/tt0198781/,Pixar Animation Studios
2002,Spirited Away,Hayao Miyazaki,https://www.imdb.com/title/tt0245429/,Studio Ghibli
2002,Ice Age,Chris Wedge,https://www.imdb.com/title/tt13634480/,Twentieth Century Fox Animation
2002,Lilo & Stitch,Chris Sanders,https://www.imdb.com/title/tt0275847/,Walt Disney Animation Studios
2002,Spirit: Stallion of the Cimarron,Jeffrey Katzenberg,https://www.imdb.com/title/tt0166813/,DreamWorks Animation
2002,Treasure Planet,Ron Clements,https://www.imdb.com/title/tt0133240/,Walt Disney Animation Studios
2003,Finding Nemo,Andrew Stanton,https://www.imdb.com/title/tt0266543/,Pixar Animation Studios
2003,Brother Bear,Aaron Blaise & Robert Walker,https://www.imdb.com/title/tt0328880/,Walt Disney Animation Studios
2003,The Triplets of Belleville,Sylvain Chomet,https://www.imdb.com/title/tt0286244/,Les Armateurs
2004,The Incredibles,Brad Bird,https://www.imdb.com/title/tt0800080/,Pixar Animation Studios
2004,Shark Tale,Bill Damaschke,https://www.imdb.com/title/tt0307453/,DreamWorks Animation
2004,Shrek 2,Andrew Adamson,https://www.imdb.com/title/tt0298148/,DreamWorks Animation
2005,Wallace & Gromit:The Curse of the Were-Rabbit,Nick Park & Steve Box,https://www.imdb.com/title/tt0312004/,"Aardman Animations, DreamWorks Animation"
2005,Corpse Bride,Mike Johnson & Tim Burton,https://www.imdb.com/title/tt0121164/,Tim Burton Productions
2005,Howl's Moving Castle,Hayao Miyazaki,https://www.imdb.com/title/tt0347149/,Studio Ghibli
2006,Happy Feet,George Miller,https://www.imdb.com/title/tt0366548/,Warner Bros.
2006,Cars,John Lasseter,https://www.imdb.com/title/tt14039582/,Pixar Animation Studios
2006,Monster House,Gil Kenan,https://www.imdb.com/title/tt0385880/,"Relativity Media, ImageMovers, Amblin Entertainment"
2007,Ratatouille,Brad Bird,https://www.imdb.com/title/tt0382932/,Pixar Animation Studios
2007,Persepolis,Marjane Satrapi & Vincent Paronnaud,https://www.imdb.com/title/tt0808417/,2.4.7. Films
2007,Surf's Up,Ash Brannon & Chris Buck,https://www.imdb.com/title/tt0423294/,Sony Pictures Animation
2008,WALL-E,Andrew Stanton,https://www.imdb.com/title/tt14055868/,Pixar Animation Studios
2008,Bolt,Chris Williams & Byron Howard,https://www.imdb.com/title/tt0397892/,Walt Disney Animation Studios
2008,Kung Fu Panda,John Stevenson & Mark Osborne,https://www.imdb.com/title/tt0441773/,DreamWorks Animation
2009,Up,Pete Docter,https://www.imdb.com/title/tt11286314/,Pixar Animation Studios
2009,Coraline,Henry Selick,https://www.imdb.com/title/tt0327597/,Focus Features
2009,Fantastic Mr. Fox,Wes Anderson,https://www.imdb.com/title/tt0432283/,Twentieth Century Fox Animation
2009,The Princess and the Frog,John Musker & Ron Clements,https://www.imdb.com/title/tt0780521/,Walt Disney Animation Studios
2009,The Secret of Kells,Tomm Moore,https://www.imdb.com/title/tt0485601/,Les Armateurs
2010,Toy Story 3,Lee Unkrich,https://www.imdb.com/title/tt0435761/,Pixar Animation Studios
2010,How to Train Your Dragon,Chris Sanders & Dean DeBlois,https://www.imdb.com/title/tt0892769/,DreamWorks Animation
2010,The Illusionist,Sylvain Chomet,https://www.imdb.com/title/tt1553917/,"Django Films, Cin? B, France 3 Cin?ma"
2011,Rango,Gore Verbinski,https://www.imdb.com/title/tt1192628/,Nickelodeon Movies
2011,A Cat in Paris,Alain Gagnol & Jean-Loup Felicioli,https://www.imdb.com/title/tt1673702/,Folimage
2011,Chico and Rita,Fernando Trueba & Javier Mariscal,https://www.imdb.com/title/tt1235830/,Magic Light Pictures
2011,Kung Fu Panda 2,Jennifer Yuh Nelson,https://www.imdb.com/title/tt1302011/,DreamWorks Animation
2011,Puss in Boots,Chris Miller,https://www.imdb.com/title/tt3915174/,DreamWorks Animation
2012,Brave,Mark Andrews & Brenda Chapman,https://www.imdb.com/title/tt1217209/,Pixar Animation Studios
2012,Frankenweenie,Tim Burton,https://www.imdb.com/title/tt1142977/,Tim Burton Productions
2012,ParaNorman,Sam Fell & Chris Butler,https://www.imdb.com/title/tt1623288/,Focus Features
2012,The Pirates! Band of Misfits,Peter Lord,https://www.imdb.com/title/tt1430626/,Sony Pictures Animation
2012,Wreck-It Ralph,Rich Moore,https://www.imdb.com/title/tt1772341/,Walt Disney Animation Studios
2013,Frozen,"Chris Buck, Jennifer Lee & Peter Del Vecho",https://www.imdb.com/title/tt2294629/,Walt Disney Animation Studios
2013,The Croods,"Chris Sanders, Kirk DeMicco & Kristine Belson",https://www.imdb.com/title/tt2850386/,DreamWorks Animation
2013,Despicable Me 2,"Chris Renaud, Pierre Coffin & Chris Meledandri",https://www.imdb.com/title/tt1690953/,Illumination Entertainment
2013,Ernest & Celestine,https://www.imdb.com/title/tt10443634/,https://www.imdb.com/title/tt0092974/,Folivari
2013,The Wind Rises,Hayao Miyazaki & Toshio Suzuki,https://www.imdb.com/title/tt2013293/,Studio Ghibli
2014,Big Hero 6,"Don Hall, Chris Williams & Roy Conli",https://www.imdb.com/title/tt2245084/,Walt Disney Animation Studios
2014,The Boxtrolls,"Anthony Stacchi, Graham Annable & Travis Knight",https://www.imdb.com/title/tt0787474/,Focus Features
2014,How to Train Your Dragon 2,Dean DeBlois & Bonnie Arnold,https://www.imdb.com/title/tt1646971/,DreamWorks Animation
2014,Song of the Sea,Tomm Moore & Paul Young,https://www.imdb.com/title/tt1865505/,Cartoon Saloon
